scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-001,NORMAL_FOLLOWING,10,25,5,dry,0.75,0.1,lead_vehicle,SAFE,inside_ODD,0.802,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-002,CLOSE_TARGET,10,5,5,dry,0.75,0.1,lead_vehicle,CAUTION,inside_ODD,0.802,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-003,HIGH_CLOSING_RISK,10,4,8,dry,0.75,0.1,lead_vehicle,WARNING,inside_ODD,0.802,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-004,SUDDEN_OBSTACLE,10,3,10,dry,0.75,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,0.802,1.08,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-005,NORMAL_FOLLOWING,10,25,5,dry,0.75,0.2,lead_vehicle,SAFE,inside_ODD,1.08,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-006,CLOSE_TARGET,10,5,5,dry,0.75,0.2,lead_vehicle,CAUTION,inside_ODD,1.08,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-007,HIGH_CLOSING_RISK,10,4,8,dry,0.75,0.2,lead_vehicle,WARNING,inside_ODD,1.08,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-008,SUDDEN_OBSTACLE,10,3,10,dry,0.75,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,1.08,1.08,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-009,NORMAL_FOLLOWING,10,25,5,dry,0.75,0.3,lead_vehicle,SAFE,inside_ODD,1.358,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-010,CLOSE_TARGET,10,5,5,dry,0.75,0.3,lead_vehicle,CAUTION,inside_ODD,1.358,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-011,HIGH_CLOSING_RISK,10,4,8,dry,0.75,0.3,lead_vehicle,WARNING,inside_ODD,1.358,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-012,SUDDEN_OBSTACLE,10,3,10,dry,0.75,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,1.358,1.08,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-013,NORMAL_FOLLOWING,10,25,5,wet,0.45,0.1,lead_vehicle,SAFE,inside_ODD,1.152,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-014,CLOSE_TARGET,10,5,5,wet,0.45,0.1,lead_vehicle,CAUTION,inside_ODD,1.152,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-015,HIGH_CLOSING_RISK,10,4,8,wet,0.45,0.1,lead_vehicle,WARNING,inside_ODD,1.152,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-016,SUDDEN_OBSTACLE,10,3,10,wet,0.45,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,1.152,1.08,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-017,NORMAL_FOLLOWING,10,25,5,wet,0.45,0.2,lead_vehicle,SAFE,inside_ODD,1.429,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-018,CLOSE_TARGET,10,5,5,wet,0.45,0.2,lead_vehicle,CAUTION,inside_ODD,1.429,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-019,HIGH_CLOSING_RISK,10,4,8,wet,0.45,0.2,lead_vehicle,WARNING,inside_ODD,1.429,1.8,WARNING,0,Pass,Calculated state matches expected state.
